1,A00000001,Leeanne,Rubie,Thorne,0,0,FACULTY,8332 W. Littleton Dr.,Gaithersburg,MD,20877,0,202-555-0185,mthurn@live.com
2,A00000002,Hugo,Rubie,Schneck,0,0,FACULTY,76 W. Piper St.,Circle Pines,MN,55014,0,202-555-0113,rgarcia@optonline.net
3,A00000003,Shyla,Kaley,Tacy,0,0,FACULTY,9505 Bank St.,Warner Robins,GA,31088,0,202-555-0160,webdragon@comcast.net
4,A00000004,Donovan,Kendal,Ruse,0,0,FACULTY,743 Silver Spear St.,Hamilton,OH,45011,0,202-555-0192,crandall@sbcglobal.net
5,A00000005,Thad,Darrell,Matte,0,0,FACULTY,8869 Smith Store Lane,Northville,MI,48167,0,202-555-0156,fangorn@hotmail.com
6,A00000006,Karry,Felipa,Heideman,1,1,STUDENT,684 Washington St.,North Andover,MA,01845,1,202-555-0150,mxiao@yahoo.com
7,A00000007,Muoi,Heike,Willoughby,1,0,STUDENT,33 Grove Ave.,Hermitage,TN,37076,1,202-555-0142,jguyer@aol.com
8,A00000008,Melodee,Tara,Courville,1,0,STUDENT,9786 Woodsman Rd.,Saint Augustine,FL,32084,2,202-555-0182,drezet@me.com
9,A00000009,Ali,Noel,Mckenzie,1,0,STUDENT,9039 Inverness Road,East Haven,CT,06512,2,202-555-0180,euice@outlook.com
10,A00000010,Alpha,David,Lybrand,1,0,STUDENT,111 Orchard Drive,Torrington,CT,06790,3,202-555-0183,firstpr@att.net
11,A00000011,Elwood,Dustin,Dewar,1,0,STUDENT,551 Fairfield Drive,Indianapolis,IN,46201,3,202-555-0168,sakusha@yahoo.ca
12,A00000012,Azzie,Jeanne,Mccluney,1,0,STUDENT,2 Nicolls Dr.,Raeford,NC,28376,4,202-555-0102,miyop@icloud.com
13,A00000013,Dinah,Jenny,Radcliff,0,0,STUDENT,12 Roehampton Road,Brookfield,WI53045,4,202-555-0185,jkegl@optonline.net
14,A00000014,Lola,Cecile,Gizzi,0,0,STUDENT,7429 Church Street,Lindenhurst,NY11757,4,202-555-0127,makarow@msn.com
15,A00000015,Hai,Micki,Nunes,0,0,STUDENT,756 S. Plymouth St.,Sykesville,MD,21784,4,202-555-0107,rafasgj@hotmail.com
16,A00000016,Janean,Leonida,Schoenrock,0,0,STAFF,8 Marvon Lane,Port Orange,FL,32127,0,202-555-0153,parasite@me.com
17,A00000017,Martin,Douglass,Ebron,0,0,STAFF,39 Whitemarsh Road,Mundelein,IL,60060,0,202-555-0116,mjewell@hotmail.com
18,A00000018,Marquis,Ileen,Buono,0,0,STAFF,98 Sulphur Springs Street,Holland,MI,49423,0,202-555-0127,laird@gmail.com
19,A00000019,Latashia,Chanel,Ravencraft,0,0,ADMIN,244 E. Fairground Avenue,Merrillville,IN,46410,0,202-555-0153,mcsporran@yahoo.ca
20,A00000020,Thomas,Rudy,Garza,0,0,ADMIN,7701 Helen Dr.,Wilson,NC,27893,0,202-555-0111,anicolao@mac.com
